"file","line","text","snippet"
"client/src/pages/marketing/FeaturesPage.tsx","308","Case Study","const templates = ['Listicle'; 'Story Arc'; 'Hot Take'; 'Tutorial'; 'Case Study'; 'Thread'];"
"client/src/pages/marketing/IntegrationsPage.tsx","439","Google Gemini","name: 'Google Gemini';"
"client/src/pages/marketing/LandingPage.tsx","268","Startup Inc","'Startup Inc';"
"client/src/pages/marketing/LandingPage.tsx","638","Gemini Pro","models: 'Gemini Pro';"
"client/src/pages/marketing/LandingPage.tsx","742","Captions and carousels that convert followers","'Captions and carousels that convert followers';"
"client/src/pages/marketing/LandingPage.tsx","751","Community posts that spark conversations","'Community posts that spark conversations';"
"client/src/pages/marketing/PrivacyPage.tsx","114","Last Updated","'We may update this Privacy Policy from time to time. We will notify you of any material changes by posting the updated policy on the Service and updating the ""Last Updated"" date. For significant chan"
"client/src/pages/marketing/TermsPage.tsx","50","User Content","'You retain all rights to the content you create; upload; or generate through the Service (""User Content""). By using the Service; you grant us a limited license to process your content solely for the "
"client/src/pages/marketing/TermsPage.tsx","106","Last Updated","'We reserve the right to modify these Terms at any time. We will provide notice of material changes by posting the updated Terms on the Service and updating the ""Last Updated"" date.\n\nYour continued "
"client/src/pages/marketing/TestimonialsPage.tsx","381","All Platforms","platforms: ['All Platforms'];"
"client/src/pages/marketing/TestimonialsPage.tsx","680","Product Hunt","name: 'Product Hunt';"
"client/src/pages/marketing/TestimonialsPage.tsx","718","Consistently top-rated across every major review platform","'Consistently top-rated across every major review platform';"
"client/src/pages/RegisterPage.tsx","23","Registration failed","return error instanceof Error ? error.message : 'Registration failed';"
"client/src/pages/RegisterPage.tsx","38","Please fill in all fields","toast.error('Please fill in all fields');"
"client/src/pages/RegisterPage.tsx","81","Full Name","label=""Full Name"""
"client/src/pages/RegisterPage.tsx","85","John Doe","placeholder=""John Doe"""
"client/src/pages/SettingsPage.tsx","326","Connect your social media accounts for direct publishing","'Connect your social media accounts for direct publishing';"
"client/src/pages/StylesPage.tsx","248","Brief description of this writing style","'Brief description of this writing style';"
"client/src/pages/TemplatesPage.tsx","19","Personal Brand","'Personal Brand';"
"client/src/pages/TrendingPage.tsx","33","Artificial Intelligence","{ value: 'ai'; label: 'Artificial Intelligence' };"
"client/src/pages/VideoScriptPage.tsx","52","Failed to generate script","toast.error(err.message || 'Failed to generate script');"
"client/src/pages/VideoScriptPage.tsx","102","Instagram Reels","{ value: 'reels'; label: 'Instagram Reels' };"
"client/src/pages/wizards/AnalyticsWizard.tsx","111","Erreur de chargement","toast.error(err instanceof Error ? err.message : 'Erreur de chargement');"
"client/src/pages/wizards/AnalyticsWizard.tsx","196","Analyser ma performance","title=""Analyser ma performance"""
"client/src/pages/wizards/AnalyticsWizard.tsx","197","Rapport rapide sur tes derniers posts","subtitle=""Rapport rapide sur tes derniers posts"""
"client/src/pages/wizards/AnalyticsWizard.tsx","201","Retour au hub","completeLabel=""Retour au hub"""
"client/src/pages/wizards/AutoBlogWizard.tsx","46","Tous les jours","{ value: 'daily'; label: 'Tous les jours' };"
"client/src/pages/wizards/AutoBlogWizard.tsx","47","Toutes les semaines","{ value: 'weekly'; label: 'Toutes les semaines' };"
"client/src/pages/wizards/AutoBlogWizard.tsx","48","Toutes les deux semaines","{ value: 'biweekly'; label: 'Toutes les deux semaines' };"
"client/src/pages/wizards/AutoBlogWizard.tsx","83","Sujet requis","? { topic: 'Sujet requis' }"
"client/src/pages/wizards/AutoBlogWizard.tsx","131","Format et rythme","description: 'Format et rythme';"
"client/src/pages/wizards/AutoBlogWizard.tsx","234","Patrice Huetz","placeholder=""Patrice Huetz"""
"client/src/pages/wizards/AutoBlogWizard.tsx","303","Lancer un blog auto","title=""Lancer un blog auto"""
"client/src/pages/wizards/CreatePostWizard.tsx","40","Vente directe","{ value: 'sales'; label: 'Vente directe' };"
"client/src/pages/wizards/CreatePostWizard.tsx","78","Le sujet est requis","if (!d.topic.trim()) errs.topic = 'Le sujet est requis';"
"client/src/pages/wizards/CreatePostWizard.tsx","145","Choisir le ton de communication","description: 'Choisir le ton de communication';"
"client/src/pages/wizards/CreatePostWizard.tsx","377","Erreur de sauvegarde","toast.error(err instanceof Error ? err.message : 'Erreur de sauvegarde');"
"client/src/pages/wizards/CreatePostWizard.tsx","389","Sauvegarder le brouillon","completeLabel=""Sauvegarder le brouillon"""
"client/src/pages/wizards/OutreachWizard.tsx","79","Nom de campagne requis","if (!d.name.trim()) errs.name = 'Nom de campagne requis';"
"client/src/pages/wizards/OutreachWizard.tsx","80","Description du produit requise","if (!d.product.trim()) errs.product = 'Description du produit requise';"
"client/src/pages/wizards/OutreachWizard.tsx","81","Industrie cible requise","if (!d.icp_industry.trim()) errs.icp_industry = 'Industrie cible requise';"
"client/src/pages/wizards/OutreachWizard.tsx","88","Nom de la campagne","label=""Nom de la campagne"""
"client/src/pages/wizards/OutreachWizard.tsx","140","Head of Growth","placeholder=""Head of Growth"""
"client/src/pages/wizards/OutreachWizard.tsx","180","Head of Growth","""Head of Growth""; ""VP Engineering SaaS""; ""founder fintech""..."
"client/src/pages/wizards/OutreachWizard.tsx","254","Message requis","? { messageTemplate: 'Message requis' }"
"client/src/pages/wizards/OutreachWizard.tsx","374","Lancer une campagne outreach","title=""Lancer une campagne outreach"""
